=== SYSTEM STATUS ===;;;;;;;
System Mode: OPEN LOOP;;;;;;;
Sensor Mode: NORMAL;;;;;;;
Manual MI: 1.000;;;;;;;
Manual Duty Cycle: 0.700;;;;;;;
POD PWM Debug: DISABLED;;;;;;;
MLBC Debug: DISABLED;;;;;;;
MLBC: STOPPED;MANUAL;Target:0.00%;Actual:0.00%;Vin:0.0V;Vout:0.0V;Iin:0.0A;Faults:0x00
====================;;;;;;;
;;;;;;;
AC Sensor initialized;;;;;;;
Configuration: 200 samples per cycle; 5 cycles per measurement;;;;;;
Total buffer size: 2000 samples (1000V + 1000I);;;;;;;
Sampling rate: 10.0 kHz (TIM3 shared with POD PWM);;;;;;;
AC Sensor started - DMA acquisition active (triggered by TIM3 at 10.0kHz);;;;;;;
DC Sensor initialized;;;;;;;
Voltage range: 0-28.0V; Current range: 0-25.0A;;;;;;
Protection thresholds: V>29.0V; I>25.0A;;;;;;
DC Sensor started - Continuous ADC acquisition active;;;;;;;
Fuzzy Controller initialized successfully;;;;;;;
Target: 220.0V; Range: ±1.0V; Output: 0.75-1.25 MI;;;;;
System Initialization Complete;;;;;;;
Start/Stop button pressed! Switching to: RUNNING;;;;;;;
Starting entire system...;;;;;;;
POD_PWM_Enable called with: 1 (was: 0);;;;;;;
POD PWM enabled;;;;;;;
System started successfully;;;;;;;
=== CALIBRATION MODE ACTIVATED ===;;;;;;;
610;742;1042;;;;;
611;748;1001;;;;;
612;739;1219;;;;;
613;758;1135;;;;;
614;738;1045;;;;;
615;749;992;;;;;
616;1022;707;;;;;
617;1027;724;;;;;
618;1039;776;;;;;
619;1028;783;;;;;
620;1019;889;;;;;
621;1027;887;;;;;
622;1027;859;;;;;
623;1036;855;;;;;
624;1032;909;;;;;
625;1028;902;;;;;
626;1024;874;;;;;
627;1028;865;;;;;
628;1037;999;;;;;
629;1026;975;;;;;
630;1036;995;;;;;
631;1023;1013;;;;;
632;1316;456;;;;;
633;1299;610;;;;;
634;1304;669;;;;;
635;1297;851;;;;;
636;1301;1051;;;;;
637;1296;1050;;;;;
638;1299;1042;;;;;
639;1299;1075;;;;;
640;1311;1201;;;;;
641;1299;1180;;;;;
642;1585;961;;;;;
643;1581;979;;;;;
644;1583;1013;;;;;
645;1591;1027;;;;;
646;1579;1090;;;;;
647;1576;1098;;;;;
648;1577;1179;;;;;
649;1577;1231;;;;;
650;1579;1261;;;;;
651;1581;1301;;;;;
652;1579;1332;;;;;
653;1582;1351;;;;;
654;1813;3269;;;;;
655;1854;2813;;;;;
656;1862;2555;;;;;
657;1858;2329;;;;;
658;1855;2176;;;;;
659;1847;2025;;;;;
660;1847;1985;;;;;
661;1853;1873;;;;;
662;1855;1815;;;;;
663;1857;1763;;;;;
664;2109;941;;;;;
665;2114;1099;;;;;
666;2124;1222;;;;;
667;2115;1339;;;;;
668;2101;1537;;;;;
669;2121;1553;;;;;
670;2119;1587;;;;;
671;2121;1610;;;;;
672;2124;1605;;;;;
673;2114;1656;;;;;
674;2115;1706;;;;;
675;2114;1722;;;;;
676;2121;1723;;;;;
677;2111;1742;;;;;
678;2115;1742;;;;;
679;2112;1730;;;;;
680;2413;1220;;;;;
681;2411;1401;;;;;
682;2409;1504;;;;;
683;2407;1626;;;;;
684;2417;2000;;;;;
685;2415;2049;;;;;
686;2419;2036;;;;;
687;2411;2060;;;;;
688;2417;2068;;;;;
689;2413;2093;;;;;
690;2408;2083;;;;;
691;2403;2089;;;;;
692;2418;2091;;;;;
693;2411;2091;;;;;
694;2408;2089;;;;;
695;2409;2067;;;;;
696;2410;2079;;;;;
697;2413;2069;;;;;
698;2414;2083;;;;;
699;2415;2108;;;;;
700;2409;2162;;;;;
701;2411;2171;;;;;
702;2407;2164;;;;;
703;2414;2128;;;;;
704;2409;2120;;;;;
705;2411;2090;;;;;
706;2414;2103;;;;;
707;2399;2101;;;;;
708;2417;2146;;;;;
709;2407;2130;;;;;
710;2411;2107;;;;;
711;2407;2113;;;;;
712;2411;2121;;;;;
713;2405;2126;;;;;
714;2408;2100;;;;;
715;2417;2120;;;;;
716;2115;2347;;;;;
717;2110;2286;;;;;
718;2126;2262;;;;;
719;2120;2227;;;;;
720;2129;2205;;;;;
721;2123;2104;;;;;
722;2124;2067;;;;;
723;2123;2016;;;;;
724;2132;2008;;;;;
725;2129;1959;;;;;
726;2125;1935;;;;;
727;2124;1895;;;;;
728;2130;1878;;;;;
729;2127;1858;;;;;
730;2125;1840;;;;;
731;2133;1828;;;;;
732;1859;2352;;;;;
733;1849;2198;;;;;
734;1853;2116;;;;;
735;1846;2017;;;;;
736;1860;1869;;;;;
737;1862;1813;;;;;
738;1860;1761;;;;;
739;1859;1647;;;;;
740;1856;1489;;;;;
741;1856;1428;;;;;
742;1549;601;;;;;
743;1581;802;;;;;
744;1581;889;;;;;
745;1579;952;;;;;
746;1583;999;;;;;
747;1583;1042;;;;;
748;1588;1075;;;;;
749;1583;1107;;;;;
750;1583;1122;;;;;
751;1583;1158;;;;;
752;1581;1168;;;;;
753;1586;1178;;;;;
754;1281;1842;;;;;
755;1298;1711;;;;;
756;1277;1631;;;;;
757;1295;1528;;;;;
758;1292;1446;;;;;
759;1301;1356;;;;;
760;1345;1304;;;;;
761;1310;1291;;;;;
762;1306;1242;;;;;
763;1302;1228;;;;;
764;1139;2035;;;;;
765;1031;1848;;;;;
766;1033;1654;;;;;
767;1025;1524;;;;;
768;1144;1520;;;;;
769;1033;1422;;;;;
770;1028;1324;;;;;
771;1033;1240;;;;;
772;1019;1391;;;;;
773;1029;1248;;;;;
774;1031;1191;;;;;
775;1030;1136;;;;;
776;1031;1160;;;;;
777;1035;1116;;;;;
778;1041;1084;;;;;
779;1021;1084;;;;;
780;759;1479;;;;;
781;745;1394;;;;;
782;745;1293;;;;;
783;742;1180;;;;;
784;753;1162;;;;;
785;739;1111;;;;;
786;749;1067;;;;;
787;741;1013;;;;;
788;745;1225;;;;;
789;745;1142;;;;;
790;747;1065;;;;;
791;746;1019;;;;;
792;744;1299;;;;;
793;740;1203;;;;;
794;750;1114;;;;;
795;737;1041;;;;;
796;746;1293;;;;;
797;743;1183;;;;;
798;751;1109;;;;;
799;746;1028;;;;;
800;746;1193;;;;;
801;747;1082;;;;;
802;737;1002;;;;;
803;745;983;;;;;
804;741;1228;;;;;
805;751;1149;;;;;
806;746;1062;;;;;
807;748;990;;;;;
808;741;1214;;;;;
809;746;1106;;;;;
810;747;1047;;;;;
811;739;982;;;;;
812;747;1213;;;;;
813;738;1114;;;;;
814;749;1051;;;;;
815;743;995;;;;;
816;1040;1187;;;;;
817;1041;1071;;;;;
818;1034;995;;;;;
819;1035;954;;;;;
820;1040;1154;;;;;
821;1038;1093;;;;;
822;1033;1046;;;;;
823;1041;1010;;;;;
824;1046;1140;;;;;
825;1037;1072;;;;;
826;1038;1019;;;;;
827;1039;978;;;;;
828;1045;1217;;;;;
829;1033;1135;;;;;
830;1035;1091;;;;;
831;1042;1034;;;;;
832;1317;647;;;;;
833;1319;748;;;;;
834;1315;768;;;;;
835;1309;870;;;;;
836;1314;1104;;;;;
837;1313;1087;;;;;
838;1306;1078;;;;;
839;1313;1094;;;;;
840;1317;1239;;;;;
841;1312;1185;;;;;
842;1567;698;;;;;
843;1577;788;;;;;
844;1580;880;;;;;
845;1581;954;;;;;
846;1582;1017;;;;;
847;1581;1105;;;;;
848;1577;1191;;;;;
849;1580;1246;;;;;
850;1589;1273;;;;;
851;1578;1316;;;;;
852;1577;1326;;;;;
853;1581;1353;;;;;
854;1807;3163;;;;;
855;1839;2696;;;;;
856;1849;2439;;;;;
857;1847;2253;;;;;
858;1847;2100;;;;;
859;1838;2008;;;;;
860;1842;1915;;;;;
861;1847;1841;;;;;
862;1843;1771;;;;;
863;1839;1704;;;;;
864;2110;895;;;;;
865;2120;1067;;;;;
866;2115;1207;;;;;
