=== SYSTEM STATUS ===;;;;;;;
System Mode: OPEN LOOP;;;;;;;
Sensor Mode: NORMAL;;;;;;;
Manual MI: 1.000;;;;;;;
Manual Duty Cycle: 0.700;;;;;;;
POD PWM Debug: DISABLED;;;;;;;
MLBC Debug: DISABLED;;;;;;;
MLBC: STOPPED;MANUAL;Target:0.00%;Actual:0.00%;Vin:0.0V;Vout:0.0V;Iin:0.0A;Faults:0x00
====================;;;;;;;
;;;;;;;
AC Sensor initialized;;;;;;;
Configuration: 200 samples per cycle; 5 cycles per measurement;;;;;;
Total buffer size: 2000 samples (1000V + 1000I);;;;;;;
Sampling rate: 10.0 kHz (TIM3 shared with POD PWM);;;;;;;
AC Sensor started - DMA acquisition active (triggered by TIM3 at 10.0kHz);;;;;;;
DC Sensor initialized;;;;;;;
Voltage range: 0-28.0V; Current range: 0-25.0A;;;;;;
Protection thresholds: V>29.0V; I>25.0A;;;;;;
DC Sensor started - Continuous ADC acquisition active;;;;;;;
System Initialization Complete;;;;;;;
Start/Stop button pressed! Switching to: RUNNING;;;;;;;
Starting entire system...;;;;;;;
POD_PWM_Enable called with: 1 (was: 0);;;;;;;
POD PWM enabled;;;;;;;
System started successfully;;;;;;;
=== CALIBRATION MODE ACTIVATED ===;;;;;;;
Waiting for complete buffer (2000 samples over 100ms)...;;;;;;;
AC Sensor mode changed: NORMAL → CALIBRATION;;;;;;;
446;2456;1960;;;;;
447;2466;1958;;;;;
448;2460;1953;;;;;
449;2461;1944;;;;;
450;2465;1927;;;;;
451;2461;1912;;;;;
452;2463;1924;;;;;
453;2467;1912;;;;;
454;2462;1917;;;;;
455;2442;1903;;;;;
456;2415;1915;;;;;
457;2421;1924;;;;;
458;2405;1925;;;;;
459;2385;1917;;;;;
460;2372;1918;;;;;
461;2335;1912;;;;;
462;2325;1909;;;;;
463;2322;1884;;;;;
464;2315;1869;;;;;
465;2307;1850;;;;;
466;2290;1857;;;;;
467;2275;1859;;;;;
468;2249;1856;;;;;
469;2224;1604;;;;;
470;2207;1640;;;;;
471;2199;1667;;;;;
472;2184;1677;;;;;
473;2165;1716;;;;;
474;2143;1735;;;;;
475;2133;1747;;;;;
476;2101;1744;;;;;
477;2093;1738;;;;;
478;2066;1721;;;;;
479;2065;1709;;;;;
480;2027;1722;;;;;
481;2023;1971;;;;;
482;2010;1908;;;;;
483;2001;1875;;;;;
484;1979;1826;;;;;
485;1964;1792;;;;;
486;1905;1782;;;;;
487;1828;1755;;;;;
488;1768;1758;;;;;
489;1751;1725;;;;;
490;1763;1693;;;;;
491;1750;1660;;;;;
492;1735;1634;;;;;
493;1705;1608;;;;;
494;1663;1608;;;;;
495;1627;1596;;;;;
496;1593;1561;;;;;
497;1570;1530;;;;;
498;1559;1496;;;;;
499;1527;1491;;;;;
500;1498;1477;;;;;
501;1463;1452;;;;;
502;1444;1434;;;;;
503;1413;1168;;;;;
504;1396;1213;;;;;
505;1371;1233;;;;;
506;1340;1256;;;;;
507;1313;1242;;;;;
508;1287;1241;;;;;
509;1265;1263;;;;;
510;1237;1261;;;;;
511;1209;1263;;;;;
512;1187;1242;;;;;
513;1162;1226;;;;;
514;1135;1228;;;;;
515;1116;1216;;;;;
516;1117;1200;;;;;
517;1098;1181;;;;;
518;1091;1161;;;;;
